Name,Category,UOM,MinOnHand,Par
ABSOLUT VODKA (1000ml),BAR,L,1 Bot + 760mL,
AMARETTO LIQUEUR (750ml),BAR,KG,147 grams,
BACARDI SUPERIOR (750ml),BAR,ML,2 Bot + 500mL,
BOMBAY SAPPHIRE (750ml),BAR,ML,3 Bot + 240mL,
BOTTLED WATER (1000ml),BAR,EA,12 Bot,
COCA COLA (1500ml),BAR,L,14 Bot,
DON PAPA (700ml),BAR,ML,2 Bot + 390mL,
GREY GOOSE (750ml),BAR,ML,2 Bot + 120mL,
JACK DANIELS (1000ml),BAR,L,1 Bot + 680mL,
JAMESON (700ml),BAR,ML,1 Bot + 420mL,
MELON LIQUOR,BAR,ML,11 Bot + 380 mL,
PATRON REPOSADO (750ml),BAR,ML,2 Bot + 455mL,
PROSECCO WINE,BAR,ML,,
ROOIBOS TEA,BAR,GR,,
MANGO,Fruits,EA,mixer,orange
